Model,Run,Train_size,Test_size,Valid_size,Train_AUC,Valid_AUC,Test_AUC,Best_Epoch
Bert only,0,12038,3439,1719,0.7682603571471412,0.6141706398996236,0.5445776664280602,1
Bert only,1,12038,3439,1719,0.9594104992942626,0.6214755332496863,0.5969559770937723,3
Bert only,2,12038,3439,1719,0.9277385312663688,0.6401555834378921,0.6364805535671678,1
Bert only,3,12038,3439,1719,0.9772072289108451,0.6258168130489336,0.5792155810069196,10
Bert only,4,12038,3439,1719,0.7701427568944352,0.5814705144291091,0.5894243617275113,0
Bert only,5,12038,3439,1719,0.9505465966660401,0.6282032622333752,0.6090855404438081,3
Bert only,6,12038,3439,1719,0.8005771852870733,0.5993902132998745,0.6331883798616083,1
Bert only,7,12038,3439,1719,0.7929439248599521,0.6044818067754077,0.6511506800286329,0
Bert only,8,12038,3439,1719,0.9928382141843234,0.6234429109159348,0.5813863039847291,6
Bert only,9,12038,3439,1719,0.9938630829331488,0.6175081555834379,0.5643301121450728,26
